ID,age,agedich,sex,csex,ppost01,ppost02,psat,psatlev,psatmed,apost01,apost02,asat,asatlev,asatmed,meansat
001,14,0,Male,0,4,4,4,1,0,3,4,3.5,1,0,3.75
002,17,1,Male,0,5,5,5,2,1,5,5,5,2,1,5
003,13,0,Female,1,4,4,4,1,0,4,3,3.5,1,0,3.75
004,17,1,Female,1,5,4,4.5,1,1,5,4,4.5,1,1,4.5
005,13,0,Female,1,5,4,4.5,1,1,4,4,4,1,1,4.25
006,13,0,Female,1,5,4,4.5,1,1,4,3,3.5,1,0,4
007,14,0,Male,0,4,4,4,1,0,4,4,4,1,1,4
008,13,0,Female,1,4,3,3.5,1,0,4,2,3,1,0,3.25
009,13,0,Male,0,5,5,5,2,1,5,5,5,2,1,5
010,13,0,Male,0,4,4,4,1,0,3,3,3,1,0,3.5
011,14,0,Female,1,5,5,5,2,1,5,4,4.5,1,1,4.75
012,14,0,Male,0,2,1,1.5,0,0,3,3,3,1,0,2.25
013,13,0,Female,1,4,4,4,1,0,3,3,3,1,0,3.5
014,13,0,Female,1,5,5,5,2,1,4,4,4,1,1,4.5
015,14,0,Male,0,5,4,4.5,1,1,4,5,4.5,1,1,4.5
016,13,0,Female,1,4,5,4.5,1,1,5,5,5,2,1,4.75
017,17,1,Female,1,5,4.5,4.75,1,1,4,4,4,1,1,4.375
018,13,0,Female,1,3,3,3,0,0,5,4,4.5,1,1,3.75
019,13,0,Female,1,2,2,2,0,0,4,3,3.5,1,0,2.75
020,14,0,Female,1,2,1,1.5,0,0,1,1,1,0,0,1.25
021,13,0,Female,1,4,4,4,1,0,2,3,2.5,0,0,3.25
022,13,0,Male,0,5,4,4.5,1,1,5,5,5,2,1,4.75
023,14,0,Male,0,4,4,4,1,0,4,3,3.5,1,0,3.75
024,13,0,Male,0,5,5,5,2,1,4,5,4.5,1,1,4.75
025,13,0,Female,1,5,5,5,2,1,4,5,4.5,1,1,4.75
026,13,0,Male,0,5,5,5,2,1,4,4,4,1,1,4.5
027,18,1,Male,0,4,4,4,1,0,3,2,2.5,0,0,3.25
028,14,0,Female,1,3,4,3.5,1,0,4,4,4,1,1,3.75
029,13,0,Female,1,4,2,3,0,0,1,1,1,0,0,2
030,13,0,Male,0,4,5,4.5,1,1,4,3,3.5,1,0,4
031,17,1,Male,0,5,5,5,2,1,5,5,5,2,1,5
032,13,0,Female,1,5,5,5,2,1,5,5,5,2,1,5
033,13,0,Female,1,3,3,3,0,0,2,3,2.5,0,0,2.75
034,18,1,Female,1,4,4,4,1,0,4,3,3.5,1,0,3.75
035,17,1,Male,0,5,4,4.5,1,1,4,3,3.5,1,0,4
036,17,1,Female,1,4,4,4,1,0,4,5,4.5,1,1,4.25
037,13,0,Female,1,5,4,4.5,1,1,3,3,3,1,0,3.75
038,17,1,Female,1,3,1,2,0,0,3,3,3,1,0,2.5
039,18,1,Male,0,5,5,5,2,1,4,5,4.5,1,1,4.75
040,17,1,Male,0,5,4,4.5,1,1,5,5,5,2,1,4.75
041,17,1,Male,0,4,4,4,1,0,4,4,4,1,1,4
042,18,1,Male,0,5,5,5,2,1,4,4,4,1,1,4.5
043,17,1,Female,1,5,5,5,2,1,5,5,5,2,1,5
044,17,1,Female,1,2,1,1.5,0,0,4,4,4,1,1,2.75
045,17,1,Female,1,5,5,5,2,1,5,5,5,2,1,5
046,13,1,Female,1,4,4,4,1,0,4,4,4,1,1,4
047,17,1,Female,1,4,4,4,1,0,3,3,3,1,0,3.5
048,17,1,Female,1,5,5,5,2,1,5,5,5,2,1,5
049,17,1,Male,0,3,3,3,0,0,2,3,2.5,0,0,2.75
050,17,1,Female,1,5,5,5,2,1,5,4,4.5,1,1,4.75
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
