SPAFF CODE,Category,Numeric category
Contempt,Negative1,1
Belligerence,Negative1,1
Stonewalling,Negative1,1
Defensiveness,Negative1,1
Domineering,Negative1,1
Anger,Negative1,1
Sadness,Negative2,2
Whining,Negative2,2
Disgust,Negative2,2
Tension,Negative2,2
Affection,Positive,3
Humor,Positive,3
Enthuiasm,Positive,3
Positive nonverbal attention,Interest,4
Elaboration/clarification seeking,Interest,4
Open-ended questions,Interest,4
Mirroring with interest,Interest,4
Backchannels,Validation,5
Paraphrasing,Validation,5
Sentence finishing,Validation,5
Direct expressions of understanding,Validation,5
Apologizing,Validation,5
Identification,Validation,5
Acknowledging different point of view,Validation,5
Mirroring with validation,Validation,5
